DEVICE NAME,DESCRIPTION,DIRECTORY NUMBER 1,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 22,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 25,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 2,DIRECTORY NUMBER 29,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 2,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 5,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER ,DIRECTORY NUMBER 9,DIRECTORY NUMBER 5
SEPCaaB,|CYPCA|5F|9|BAS|2|CACYP Sales Room A|INM99E|FOP|NON|NON|NON,552017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFDDBBaa,|CYPCA|52|925|BAS|| Endosope|UNKNOWN|FOP|NON|NON|NON,552018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggDBBDAFE,|CYPCA|52|925|BAS|| Endosope2|UNKNOWN|FOP|NON|NON|NON,552019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEDBBBBE,|CYPCA|52|925|BAS|2| Endosope|UNKNOWN|FOP|NON|NON|NON,552020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFBBE,|CYPCA|52|92|BAS|29|CACYP Med Storage Rm|FCH9M2|NTX|NON|NON|NON,552021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFCF,|CYPCA|52|92|BAS|29|CACYP Med Training Rm|FCH9MPS|NTX|NON|NON|NON,552022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFaaC,|CYPCA|52|92|STD||Elizabeth English|FCH9URZ|NTX||NON|NON,552023,5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAgg,|CYPCA|5EID|92|BAS||Mitch Polar|FCHAR|NTX|NON|NON|NON,552024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBCBBF,|CYPCA|5EID|92|STD||Natalie Martin|FCH9SF|NTX||NON|,552025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFaaFggggBE,|CYPCA|5ID|9|CAP|2|CACYP Main Conf Rm|F2F55BE|FOP|NON|NON|NON,552026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCggFEB,|CYPCA|5ID|9|BAS|2|CACYP Repair Bench |INM99BK|FOP|NON|NON|NON,552027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaECgg,|CYPCA|5ID|9|BAS||Merritt Hartley|INM9KAM|FOP|NON|NON|NON,552028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBDaaDaaA,|CYPCA|5ID|9|BAS|95|Nergene Arquelada|FCH59FP5|FOP||NON|NON,552029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBDgg,|CYPCA|5ID|9|BAS||David Wilcher|INM92222UG|FOP|NON|NON|NON,552030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBD,|CYPCA|5ID|9|BAS|5|Jorge Ramirez|UNKNOWN|FOP|NON|NON|NON,552031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBDaaDC,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|FCH59GG|FOP|NON|NON|NON,552032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBDaaD,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|FCH59GJ|FOP|NON|NON|NON,552033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBDaaDDA,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|FCH59GQF|FOP|NON|NON|NON,552034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBDaaDC,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|INM5VR|FOP|NON|NON|NON,552035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBaaC,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|INM92V|FOP|NON|NON|NON,552036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDaaCBD,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|INM922PAG|FOP|NON|NON|NON,552037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFA,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|INM92222E|FOP|NON|NON|NON,552038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPFBFBB,|CYPCA|5ID|9|NON|XXXX|UNASSIGNED|INM92222VJ|FOP|NON|NON|NON,552039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaECggBB,|CYPCA|5ID|9|STD||CACYP Shipping |INM9K9|FOP|NON|NON|NON,552040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPAaaEaa,|CYPCA|5ID|9|STD|92|Joe Nieman (Service Bench)|INM9222JA|FOP||NON|NON,552041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggDB,|CYPCA|5ID|92|BAS|2|Minilab Tr Rm |FCH2B5|NTX|NON|NON|NON,552042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggaa,|CYPCA|5ID|92|BAS|2|Minilab Tr Rm 2|FCH2FN|NTX|NON|NON|NON,552043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBBDD,|CYPCA|5ID|92|BAS|22|Shawn Jones|FCH9Z|NTX|NON|NON|NON,552044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAB,|CYPCA|5ID|92|BAS|2|Carlos Cabral|FCH9SLU|NTX|NON|NON|NON,552045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggBB,|CYPCA|5ID|92|BAS|2|Hotel  Cypress|FCH9ZV|NTX|NON|NON|NON,552046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggFC,|CYPCA|5ID|92|BAS|2|CACYP CMD Conf|FCH2QG|NTX|NON|NON|NON,552047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAgg,|CYPCA|5ID|92|BAS|2|Barney Tong|FCHAR|NTX||NON|NON,552048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggCA,|CYPCA|5ID|92|BAS|2|CACYP Imaging Sales Desk 2|FCHAD5|NTX||NON|NON,552049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAaaA,|CYPCA|5ID|92|BAS|2|HR Visitor Office|FCH9TA|NTX|NON|NON|NON,552050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCABB,|CYPCA|5ID|92|BAS|2|CACYP Copier Rm|FCH9TCJ|NTX|NON|NON|NON,552051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAA,|CYPCA|5ID|92|BAS|5|CACYP PVGC Rm|FCH9T9|NTX|NON|NON|NON,552052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAEaa,|CYPCA|5ID|92|BAS|2|CS Printer Table|FCH9SNA|NTX|NON|NON|NON,552053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggggC,|CYPCA|5ID|92|BAS||Phyllis Su|FCH9ZUV|NTX||NON|,552054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCDCBB,|CYPCA|5ID|92|BAS|9|CACYP CUST SERV 2|FCHND|NTX||NON|NON,552055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAgg,|CYPCA|5ID|92|BAS|22|UNASSIGNED|FCH9TR|NTX|NON|NON|NON,552056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggBBC,|CYPCA|5ID|92|BAS|2|Judi Nakatsu|FCHAX|NTX||NON|,552057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDaaF,|CYPCA|5ID|92|BAS|25|CS Huddle|FCH2AT|NTX|NON|NON|NON,552058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDaaaaaa,|CYPCA|5ID|92|BAS||Hotel  Cypress|FCH2AT|NTX|NON|NON|NON,552059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDaaBBB,|CYPCA|5ID|92|BAS||CACYP Vis Cub |FCH2RYK|NTX|NON|NON|NON,552060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDaaB,|CYPCA|5ID|92|BAS|5|CACYP Vis Cub |FCH2RYS|NTX|NON|NON|NON,552061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFCF,|CYPCA|5ID|92|BAS||Michael Bulbenko|FCHA2|NTX||NON|NON,552062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggA,|CYPCA|5ID|92|BAS|2|Img Sales Vis Desk|FCH9ZX|NTX|NON|NON|NON,552063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAgg,|CYPCA|5ID|92|BAS|52|SPTS Hotel |FCHAH|NTX|NON|NON|NON,552064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAC,|CYPCA|5ID|92|BAS|5|Dale Wing|FCH9SV|NTX||NON|NON,552065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBEF,|CYPCA|5ID|92|BAS|5|SPTS Hotel 2|FCHF|NTX|NON|NON|NON,552066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCA,|CYPCA|5ID|92|BAS||Lucy Ortiz|FCH9TDQ|NTX||NON|NON,552067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFDF,|CYPCA|5ID|92|BAS|9|Mauricio Novoa|FCH9NN|NTX|NON|NON|NON,552068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFDaa,|CYPCA|5ID|92|BAS|9|Manuel Zamora|FCH9MUR|NTX||NON|NON,552069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFCAgg,|CYPCA|5ID|92|BAS|9|AJ DeLaTorre|FCHAXLL|NTX||NON|NON,552070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBFaaFE,|CYPCA|5ID|92|BAS|9|FNONCACYP Conf. Rm.|FCH259BTY|NTX|NON|NON|NON,552071,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBggC,|CYPCA|5ID|92|BAS|5|Hotel 5 Cypress|FCHDL9|NTX|NON|NON|NON,552072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFCC,|CYPCA|5ID|92|BAS|2|Hugh Ryono|FCH9MQ5|NTX|NON|NON|NON,552073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCACA,|CYPCA|5ID|92|BAS||SPTS Lab|FCH9TA|NTX|NON|NON|NON,552074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCA,|CYPCA|5ID|92|BAS||SPTS Main Lab|FCHA|NTX|NON|NON|NON,552075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaEaa,|CYPCA|5ID|92|BAS||Pkging Prod Fl|FCH9FA|NTX|NON|NON|NON,552076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggFBBBB,|CYPCA|5ID|92|BAS|9|Steve Omori|FCH9QE|NTX||NON|NON,552077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBggCggggE,|CYPCA|5ID|92|BAS|9|Michael Nguyen|FCH2Q|NTX|NON|NON|NON,552078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDCBBggCaa,|CYPCA|5ID|92|NON|XXXX|Unassigned|FCH2JC|NTX|NON|NON|NON,552079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCECCA,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCH29KU|NTX|NON|NON|NON,552080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggD,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCH9|NTX|NON|NON|NON,552081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBC,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCH2N|NTX|NON|NON|NON,552082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFABBC,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCHAQ|NTX|NON|NON|NON,552083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDaaggD,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCH29UT|NTX|NON|NON|NON,552084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBEaa,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCHAEC|NTX|NON|NON|NON,552085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAaaBF,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|FCH9T2C|NTX|NON|NON|NON,552086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPAC,|CYPCA|5ID|92|NON|XXXX|UNASSIGNED|UNKNOWN|NTX|NON|NON|NON,552087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCABB,|CYPCA|5ID|92|STD||Jennifer Co|FCH9TJ|NTX||NON|,552088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggggEaa,|CYPCA|5ID|92|STD||Diana White|FCHAUX|NTX||NON|,552089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAggDE,|CYPCA|5ID|92|STD||Michael Ellard|FCHA2MA|NTX||NON|,552090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBBD,|CYPCA|5ID|92|STD|2|Charlotte Eriz|FCH92|NTX||REC|,552091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCACaa,|CYPCA|5ID|92|STD|2|Marietta Nieman|FCH9T9Z|NTX||REC|,552092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAA,|CYPCA|5ID|92|STD||Chris Won|FCH9TC|NTX||NON|,552093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFCBB,|CYPCA|5ID|92|STD|2|Matthew Doi|FCHAVNG|NTX||NON|,552094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggABBaaaaDE,|CYPCA|5ID|92|STD||CACYP Shipping |FCHJ9G|NTX|NON|NON|NON,552095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBBBCC,|CYPCA|5ID|92|STD|9|Eddie Kim|FCHRA|NTX||NON|NON,552096,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCAgg,|CYPCA|5ID|92|STD|9|Jasmine Robinson|FCHAT|NTX||NON|NON,552097,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCBBCABgg,|CYPCA|5ID|92|STD|92|Joe Nieman|FCH9SLZ|NTX||NON|NON,552098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCgg,|CYPCA|5ID|IP C|BAS||Jennifer Co|UNKNOWN|NTX||NON|,552099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCgg,|CYPCA|5ID|IPC|BAS||Lucy Ortiz|UNKNOWN|FOP||NON|NON,552100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFDE,|CYPCA|5FRMU|92|BAS|2|Ken Kajikawa|FCH9MVV|NTX||NON|NON,552101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPEBBggaaFDaaD,|CYPCA|5FRMU|92|BAS|29|Jim Ghelfi|FCH9MUW|NTX||NON|NON,552102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDaaBF,|DORFL|52|2|BAS||Koki Nakao|WZP2EH|NTX||NON|NON,552103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDaaBA,|DORFL|52|2|BAS||German Repetto|UNKNOWN|NTX||NON|NON,552104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDaaBEF,|DORFL|52|2|BAS||Aline Fernandes|WZP2EG|NTX||NON|NON,552105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDaaBE,|DORFL|52|2|BAS|9|Carlos Lloreda|UNKNOWN|NTX||NON|NON,552106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDaaBD,|DORFL|52|2|BAS|55|Guillermo Gomez|WZP2EY|NTX||NON|NON,552107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBaa,|DORFL|52|2|BAS|552|Gladys Lavalle|WZP22|NTX||NON|NON,552108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPAAEFEB,|DORFL|52|2|BAS|55|Thais Magalhaes|WZP222GAV|NTX||NON|NON,552109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBDBB,|DORFL|52|2|BAS|55|Julian Noriega|UNKNOWN|NTX||NON|NON,552110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDaaB,|DORFL|52|2|BAS|55|Jesus Cisneros|WZP2ECX|NTX||NON|NON,552111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBFBBEF,|DORFL|52|2|BAS|55| Read Desk |UNKNOWN|NTX||NON|NON,552112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCADBBgg,|DORFL|52||BAS|559|Geraldine Medrano|UNKNOWN|NTX||NON|NON,552113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPaaCDBBgg,|DORFL|52||STD|5|Francisco Plata|UNKNOWN|NTX||NON|NON,552114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPECEABBCBB,|DORFL|52|92|BAS|55|Spare|FCH29G|NTX||NON|NON,552115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDCBBggCB,|DORFL|52|92|BAS|552|Gerardo PerezJulian|FCH2HDW|NTX||NON|,552116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB/1/,|DORFL|52|92|BAS|9|T VOSS|UNKNOWN|NTX||NON|,552117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPACFaaFB,|DORFL|52||CAP|55|Conference Rm.|UNKNOWN|FOP|NON|NON|NON,552118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCggaagggg,|DORFL|52|CIPC|BAS|55|Jazmin Lopez|UNKNOWN|FOP||NON|NON,552119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCggaa,|DORFL|52|CIPC|BAS||Daniel Sosa|UNKNOWN|FOP||NON|,552120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCggaagg,|DORFL|52|CIPC|STD|5|Francisco Plata|UNKNOWN|FOP||NON|NON,552121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCggaagggg,|DORFL|52|IP C|BAS|55|Yuki Note|UNKNOWN|NTX||NON|NON,552122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCggaagggg,|DORFL|52|IP C|BAS|55|Isis Pena|UNKNOWN|NTX||NON|NON,552123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDCBBgggg,|EDNNJ|5|92|BAS||Raul Santiago|FCH29ZY|NTX||NON|NON,552124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCDaaEBBaaED,|EDNNJ|5|92|BAS|2|Daaniyaal AbdusSalaam|FCHANV|NTX||NON|NON,552125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDCBBggggC,|EDNNJ|5|92|BAS||Russell Giovine|FCH29ZL2|NTX||NON|NON,552126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCDaaEBB,|EDNNJ|5|92|BAS||Julio Duran|FCHAPC|NTX||NON|NON,552127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCDaaFBC,|EDNNJ|5|92|BAS||Kathy Staeger|FCHE|NTX||NON|NON,552128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBBBE,|EDNNJ|5|92|BAS|29|Jack Borch|FCH9HCM|NTX||NON|NON,552129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPBBCggDBggDB,|EDNNJ|5|92|BAS|95|Josh Woerthwein|FCHDV|NTX||NON|NON,552130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPggBBEaaBBaaD,|EDNNJ|5|92|ENH||Amritpal Flora|FCH2AKFW|NTX||NON|NON,552131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCDaaEBBaaD,|EDNNJ|5|92|NON|XXXX|UNASSIGNED|FCHAN|NTX|NON|NON|NON,552132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCDaaFCF,|EDNNJ|5|92|NON|XXXX|UNASSIGNED|FCHVLH|NTX|NON|NON|NON,552133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDCBBggggC,|EDNNJ|5|92|STD|29|Arlene Rodriguez|FCH29ZKZ|NTX|NON|NON|NON,552134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPDBFDCC,|EDNNJ|5|92|BAS|XXXX|UNASSIGNED|FCHYU|NTX|NON|NON|NON,552135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPCggaa,|EDNNJ|5|IP C|BAS|2|Daaniyaal Abdussalaam|UNKNOWN|NTX||NON|NON,552136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPCDEAEgg,|EDNNJ|5F|92|STD|2|Randy Hurless|FCH2XJ2|NTX||REC|,552137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
